BRook1,BKnight1,BBishop1,BKing,BQueen1,BBishop2,BKnight2,BRook2,BPawn1,BPawn2,BPawn3,BPawn4,BPawn5,BPawn6,BPawn7,BPawn8,WPawn1,WPawn2,WPawn3,WPawn4,WPawn5,WPawn6,WPawn7,WPawn8,WRook1,WKnight1,WBishop1,WKing,WQueen1,WBishop2,WKnight2,WRook2,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,move_range_num
64.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,53.0,52.0,51.0,50.0,49.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783
64.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,52.0,51.0,50.0,49.0,37.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,22.0,6.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398
64.0,63.0,62.0,61.0,60.0,59.0,43.0,57.0,56.0,55.0,54.0,52.0,51.0,50.0,49.0,37.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,22.0,13.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326
64.0,63.0,62.0,61.0,60.0,59.0,43.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,38.0,37.0,29.0,23.0,16.0,14.0,12.0,11.0,10.0,9.0,8.0,22.0,13.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903
64.0,63.0,62.0,61.0,60.0,59.0,43.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,29.0,23.0,16.0,14.0,12.0,11.0,10.0,9.0,0.0,8.0,39.0,13.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360
64.0,63.0,62.0,61.0,39.0,59.0,43.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,29.0,23.0,16.0,14.0,12.0,11.0,10.0,9.0,0.0,6.0,2.0,13.0,7.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
64.0,63.0,62.0,61.0,39.0,59.0,43.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,0.0,23.0,21.0,16.0,14.0,11.0,10.0,9.0,0.0,6.0,2.0,13.0,7.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712
64.0,63.0,59.0,61.0,39.0,44.0,43.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,0.0,29.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,6.0,2.0,13.0,7.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287
64.0,46.0,59.0,61.0,0.0,44.0,43.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,0.0,29.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,6.0,2.0,39.0,7.0,4.0,13.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
64.0,43.0,59.0,61.0,0.0,44.0,29.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,0.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,0.0,6.0,2.0,13.0,7.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396
64.0,43.0,59.0,61.0,0.0,35.0,29.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,0.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,0.0,6.0,2.0,22.0,7.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776
64.0,43.0,59.0,61.0,0.0,35.0,39.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,37.0,0.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,0.0,6.0,2.0,15.0,7.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337
64.0,43.0,59.0,61.0,0.0,35.0,0.0,57.0,55.0,52.0,51.0,50.0,49.0,40.0,37.0,0.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,0.0,6.0,2.0,39.0,7.0,4.0,15.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
64.0,43.0,59.0,61.0,0.0,35.0,0.0,57.0,55.0,51.0,50.0,49.0,44.0,40.0,37.0,0.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,0.0,6.0,2.0,39.0,7.0,36.0,15.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
64.0,26.0,59.0,61.0,0.0,35.0,0.0,57.0,55.0,51.0,50.0,49.0,44.0,40.0,37.0,0.0,23.0,16.0,14.0,11.0,10.0,9.0,0.0,0.0,6.0,2.0,39.0,7.0,45.0,15.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2248
64.0,26.0,45.0,61.0,0.0,35.0,0.0,57.0,55.0,51.0,50.0,49.0,44.0,40.0,37.0,0.0,23.0,19.0,16.0,14.0,10.0,9.0,0.0,0.0,6.0,2.0,39.0,7.0,0.0,15.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647
64.0,11.0,45.0,61.0,0.0,35.0,0.0,57.0,55.0,51.0,50.0,49.0,44.0,40.0,37.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,6.0,2.0,39.0,7.0,0.0,15.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591
64.0,11.0,45.0,61.0,0.0,42.0,0.0,57.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,6.0,2.0,50.0,7.0,0.0,39.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930
64.0,11.0,45.0,61.0,0.0,42.0,0.0,58.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,6.0,2.0,43.0,7.0,0.0,39.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129
64.0,11.0,42.0,61.0,0.0,0.0,0.0,58.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,6.0,2.0,52.0,7.0,0.0,39.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696
64.0,11.0,42.0,52.0,0.0,0.0,0.0,58.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,4.0,2.0,39.0,7.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
64.0,1.0,42.0,52.0,0.0,0.0,0.0,58.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,4.0,17.0,39.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
64.0,0.0,42.0,52.0,0.0,0.0,0.0,58.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,4.0,11.0,39.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018
62.0,0.0,42.0,52.0,0.0,0.0,0.0,58.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,14.0,9.0,0.0,0.0,6.0,11.0,39.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
58.0,0.0,42.0,52.0,0.0,0.0,0.0,0.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,9.0,0.0,0.0,0.0,14.0,11.0,39.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
58.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,9.0,0.0,0.0,0.0,0.0,11.0,39.0,14.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
62.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,9.0,0.0,0.0,0.0,0.0,11.0,39.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832
38.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,55.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,26.0,23.0,19.0,16.0,9.0,0.0,0.0,0.0,0.0,11.0,21.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414
38.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,51.0,49.0,44.0,40.0,39.0,37.0,0.0,0.0,32.0,26.0,23.0,19.0,9.0,0.0,0.0,0.0,0.0,11.0,21.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975
38.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,51.0,49.0,44.0,40.0,37.0,0.0,0.0,0.0,32.0,26.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416
